feature,inferred_type,train_non_null_ratio,test_non_null_ratio,train_numeric_parse_ratio,test_numeric_parse_ratio,train_unique_ratio_non_null,id_like_flag,spearman_with_log_correction,drift_metric_name,drift_metric_value
esg_firma_hauptbranche_abschnitt,categorical,1.0,1.0,0.0,0.0,0.002315378990982208,0,,tv_categorical,0.034832008368773745
esg_firma_hauptbranche_abschnitt_name_german,categorical,1.0,1.0,0.0,0.0,0.002315378990982208,0,,tv_categorical,0.034832008368773745
esg_firma_firma-esg-score-2__archiv-input__pruefungsurteil-stichtag,categorical,0.3523031927857665,0.37586081913736863,0.3523031927857665,0.37586081913736863,0.010722933241093047,0,,tv_categorical,0.03478861240420533
esg_firma_kapitel-rechtsform-und-gruendung__erste-rechtsform__kurzname-rechtsform,categorical,1.0,1.0,0.0,0.0,0.004143309773336583,0,,tv_categorical,0.03453585575561232
esg_firma_kapitel-handelsregister__grund-letzter-eintrag,categorical,0.7099683158664392,0.7107647698441464,0.0,0.0,0.005320974939924477,0,,tv_categorical,0.0336529632001337
esg_firma_kapitel-rechtsform-und-gruendung__aktuelle-rechtsform__datum-gruendung__:tag,categorical,0.25347306848647333,0.25045306270387824,0.25347306848647333,0.25045306270387824,0.014903846153846155,0,,tv_categorical,0.03314440224742069
esg_firma_kapitel-standorte__juristischer-sitz__anschrift__herkunft-qualitaet__herkunft,categorical,0.8124543017304411,0.799565059804277,0.0,0.0,0.0031498425078746064,0,,tv_categorical,0.03290063397418612
esg_firma_kapitel-standorte__juristischer-sitz__postfachadresse__herkunft-qualitaet__zeitpunkt,categorical,0.04813551060199854,0.0612540775643349,0.04813551060199854,0.0612540775643349,0.6278481012658228,0,,tv_categorical,0.03278405010805043
esg_firma_kapitel-standorte__juristischer-sitz__postfachadresse__plz,categorical,0.04813551060199854,0.0612540775643349,0.04813551060199854,0.0612540775643349,0.610126582278481,0,,tv_categorical,0.03235753292550107
esg_firma_firma-esg-score-2__governance__bestaetigungsvermerk,categorical,0.1795028028271996,0.20877129394708227,0.0,0.0,0.0013577732518669382,0,,tv_categorical,0.03195886424744063
