bin,rows,baseline_mae,generated_mae,mae_gain,baseline_rmse,generated_rmse,rmse_gain
0,272,170.78033088235293,170.73715531385713,0.043175568495797734,1017.7694046546609,1017.8067025659368,-0.037297911275913975
1,267,232.41895131086142,229.15841147278005,3.260539838081371,1447.8687595148347,1448.6519477152933,-0.7831882004586532
2,280,518133.8611071428,518114.2503822369,19.61072490591323,8665397.41463446,8665396.883023586,0.5316108744591475
3,259,1029.6700386100388,941.2724829229747,88.39755568706403,5154.622291298121,5166.10681819335,-11.484526895228555
4,269,1514.4035687732342,1101.3979171398862,413.00565163334795,8661.016657235627,8641.491573854495,19.52508338113148
5,279,1606.3406093189965,500.8078172844947,1105.5327920345017,1866.7855780403838,1220.6821240829847,646.1034539573991
6,270,14653.026407407408,12467.870422820683,2185.155984586725,63965.70821252453,63978.942300819974,-13.234088295444963
7,255,67992.29086274511,63794.22803954444,4198.062823200671,346195.81447277183,345641.1157720285,554.6987007433199
8,267,1485563.7615730339,1475477.1056982384,10086.655874795513,21664732.8329663,21663907.241283316,825.591682985425
9,269,27245538.12297398,27103801.163361836,141736.9596121423,90607371.97092907,90749891.55955425,-142519.58862517774
