top_fraction,top_rows,mae_share,mean_abs_err_in_top,mean_target_in_top,mean_pred_in_top,model
0.01,27,0.69699656784643,248105896.79039112,265454063.33333334,17348166.542942207,generated
0.05,131,0.8521764846492991,62521366.4445124,60044327.65847328,14327151.79028135,generated
0.1,261,0.9762161906210032,35948080.85423526,30358653.80842912,11847137.734032094,generated
0.2,522,0.9950493966254645,18320796.41144635,15553992.74321839,6511606.9434723295,generated
0.01,27,0.8781593381273913,256722429.37037036,265454063.33333334,8731633.962962963,baseline
0.05,131,0.9921550422336559,59780907.3351145,61601350.29847328,5474071.72519084,baseline
0.1,261,0.997977096443466,30181048.354597703,31095808.78570881,2883827.379310345,baseline
0.2,522,0.999530336813987,15114010.900038315,15568927.650689654,1468247.7969348659,baseline
